driver_name,encoded_value
S VANDOORNE,0
D RICCIARDO,1
S VETTEL,2
K RAIKKONEN,3
R GROSJEAN,4
M ERICSSON,5
P GASLY,6
S PEREZ,7
F ALONSO,8
C LECLERC,9
L STROLL,10
K MAGNUSSEN,11
N HULKENBERG,12
B HARTLEY,13
E OCON,14
M VERSTAPPEN,15
S SIROTKIN,16
L HAMILTON,17
C SAINZ,18
V BOTTAS,19
L NORRIS,20
A ALBON,21
D KVYAT,22
G RUSSELL,23
R KUBICA,24
A GIOVINAZZI,25
N LATIFI,26
P FITTIPALDI,27
J AITKEN,28
N MAZEPIN,29
Y TSUNODA,30
M SCHUMACHER,31
G ZHOU,32
L SARGEANT,33
N DE VRIES,34
O PIASTRI,35
P ARON,36
D BEGANOVIC,37
Z O'SULLIVAN,38
L FORNAROLI,39
F COLAPINTO,40
M BOYA,41
S MONTOYA,42
L BROWNING,43
R VILLAGOMEZ,44
O GRAY,45
I COHEN,46
J MARTI,47
C MANSELL,48
T BARNARD,49
W SHIN,50
L LAWSON,51
O BEARMAN,52
J DOOHAN,53
G BORTOLETO,54
I HADJAR,55
A ANTONELLI,56
K ANTONELLI,57
